name_clean,SCIENTIFIC.NAME,specID
Yellow-billed_Cuckoo,Coccyzus americanus,OTT:891425
Forsters_Tern,Sterna forsteri,OTT:341030
Spotted_Sandpiper,Actitis macularius,OTT:810558
Cackling_Goose,Branta hutchinsii,OTT:972531
Lesser_Black-backed_Gull,Larus fuscus,OTT:887701
Pacific_Loon,Gavia pacifica,OTT:651474
Rufous_Hummingbird,Selasphorus rufus,OTT:532129
Ovenbird,Seiurus aurocapilla,OTT:285207
Prairie_Warbler,Setophaga discolor,OTT:532752
Eastern_Screech-Owl,Megascops asio,OTT:570960
Northern_Gannet,Morus bassanus,OTT:675103
Barred_Owl,Strix varia,OTT:509065
American_Wigeon,Mareca americana,OTT:656788
Purple_Finch,Haemorhous purpureus,OTT:641497
Bobolink,Dolichonyx oryzivorus,OTT:858292
Ruddy_Turnstone,Arenaria interpres,OTT:821753
Hermit_Thrush,Catharus guttatus,OTT:96280
Peregrine_Falcon,Falco peregrinus,OTT:786435
Western_Sandpiper,Calidris mauri,OTT:234671
Swallow-tailed_Kite,Elanoides forficatus,OTT:1053065
Swainsons_Thrush,Catharus ustulatus,OTT:489372
Stilt_Sandpiper,Calidris himantopus,OTT:633931
Yellow-crowned_Night-Heron,Nyctanassa violacea,OTT:244700
Horned_Grebe,Podiceps auritus,OTT:726164
Yellow-bellied_Flycatcher,Empidonax flaviventris,OTT:1095264
Brown_Creeper,Certhia americana,OTT:697024
Red_Crossbill,Loxia curvirostra,OTT:298778
Whooping_Crane,Grus americana,OTT:414356
Cerulean_Warbler,Setophaga cerulea,OTT:545135
Semipalmated_Plover,Charadrius semipalmatus,OTT:661809
Northern_Shoveler,Spatula clypeata,OTT:656794
Louisiana_Waterthrush,Parkesia motacilla,OTT:660355
Golden-winged_Warbler,Vermivora chrysoptera,OTT:85249
American_Woodcock,Scolopax minor,OTT:244702
Gray_Kingbird,Tyrannus dominicensis,OTT:381848
American_Black_Duck,Anas rubripes,OTT:604178
Blackpoll_Warbler,Setophaga striata,OTT:60236
Golden-crowned_Kinglet,Regulus satrapa,OTT:3599325
Black-bellied_Whistling-Duck,Dendrocygna autumnalis,OTT:662608
Lapland_Longspur,Calcarius lapponicus,OTT:420995
Semipalmated_Sandpiper,Calidris pusilla,OTT:1092981
White-winged_Dove,Zenaida asiatica,OTT:715580
Black-headed_Grosbeak,Pheucticus melanocephalus,OTT:425436
Northern_Pintail,Anas acuta,OTT:855474
American_Oystercatcher,Haematopus palliatus,OTT:1092987
Barn_Owl,Tyto alba,OTT:1065606
Blue-winged_Warbler,Vermivora cyanoptera,OTT:3597221
Chuck-wills-widow,Antrostomus carolinensis,OTT:416426
Piping_Plover,Charadrius melodus,OTT:234677
Orange-crowned_Warbler,Leiothlypis celata,OTT:88835
Nelsons_Sparrow,Ammospiza nelsoni,OTT:934469
Marsh_Wren,Cistothorus palustris,OTT:932504
Gull-billed_Tern,Gelochelidon nilotica,OTT:1021956
White_Ibis,Eudocimus albus,OTT:425447
Snow_Goose,Anser caerulescens,OTT:190878
Painted_Bunting,Passerina ciris,OTT:887250
American_Golden-Plover,Pluvialis dominica,OTT:57823
Says_Phoebe,Sayornis saya,OTT:568707
Yellow_Warbler,Setophaga petechia,OTT:612066
Cape_May_Warbler,Setophaga tigrina,OTT:532753
Least_Bittern,Ixobrychus exilis,OTT:213188
Veery,Catharus fuscescens,OTT:545761
Blackburnian_Warbler,Setophaga fusca,OTT:292920
Yellow_Rail,Coturnicops noveboracensis,OTT:242758
Scaly-breasted_Munia,Lonchura punctulata,OTT:865474
Roseate_Spoonbill,Platalea ajaja,OTT:951123
Sedge_Wren,Cistothorus platensis,OTT:932500
Vermilion_Flycatcher,Pyrocephalus rubinus,OTT:375103
Common_Ground_Dove,Columbina passerina,OTT:157208
Rusty_Blackbird,Euphagus carolinus,OTT:839098
Clapper_Rail,Rallus crepitans,OTT:5857231
Merlin,Falco columbarius,OTT:786443
Grasshopper_Sparrow,Ammodramus savannarum,OTT:420998
Black-throated_Blue_Warbler,Setophaga caerulescens,OTT:85240
Wood_Stork,Mycteria americana,OTT:464695
Canada_Warbler,Cardellina canadensis,OTT:909769
Bank_Swallow,Riparia riparia,OTT:922718
Scissor-tailed_Flycatcher,Tyrannus forficatus,OTT:618377
Bullocks_Oriole,Icterus bullockii,OTT:332166
Willow_Flycatcher,Empidonax traillii,OTT:67288
Magnificent_Frigatebird,Fregata magnificens,OTT:330000
Wild_Turkey,Meleagris gallopavo,OTT:446482
White-crowned_Sparrow,Zonotrichia leucophrys,OTT:265553
Little_Gull,Hydrocoloeus minutus,OTT:80679
Glossy_Ibis,Plegadis falcinellus,OTT:848593
Eurasian_Wigeon,Mareca penelope,OTT:765180
Red-cockaded_Woodpecker,Dryobates borealis,OTT:701708
Sora,Porzana carolina,OTT:885182
Swainsons_Warbler,Limnothlypis swainsonii,OTT:1024615
Seaside_Sparrow,Ammospiza maritima,OTT:1002241
Bachmans_Sparrow,Peucaea aestivalis,OTT:292633
White-rumped_Sandpiper,Calidris fuscicollis,OTT:234673
Lincolns_Sparrow,Melospiza lincolnii,OTT:265550
Fox_Sparrow,Passerella iliaca,OTT:789028
Long-billed_Dowitcher,Limnodromus scolopaceus,OTT:530284
Vesper_Sparrow,Pooecetes gramineus,OTT:765407
Warbling_Vireo,Vireo gilvus,OTT:621717
Buff-breasted_Sandpiper,Calidris subruficollis,OTT:808996
Franklins_Gull,Leucophaeus pipixcan,OTT:965054
Inca_Dove,Columbina inca,OTT:846250
Wilsons_Warbler,Cardellina pusilla,OTT:119878
Common_Tern,Sterna hirundo,OTT:1057459
Purple_Gallinule,Porphyrio martinica,OTT:381387
Black_Tern,Chlidonias niger,OTT:234666
Horned_Lark,Eremophila alpestris,OTT:998122
Western_Tanager,Piranga ludoviciana,OTT:565244
Western_Kingbird,Tyrannus verticalis,OTT:618385
Clay-colored_Sparrow,Spizella pallida,OTT:989506
Upland_Sandpiper,Bartramia longicauda,OTT:654835
Nashville_Warbler,Leiothlypis ruficapilla,OTT:392341
Wilsons_Plover,Charadrius wilsonia,OTT:234675
Red-throated_Loon,Gavia stellata,OTT:1057044
Black_Scoter,Melanitta americana,OTT:5560148
Rosss_Goose,Anser rossii,OTT:767830
Calliope_Hummingbird,Selasphorus calliope,OTT:203380
King_Rail,Rallus elegans,OTT:809015
Wilsons_Phalarope,Phalaropus tricolor,OTT:214789
Bairds_Sandpiper,Calidris bairdii,OTT:654826
American_Avocet,Recurvirostra americana,OTT:427710
Golden_Eagle,Aquila chrysaetos,OTT:263127
American_Bittern,Botaurus lentiginosus,OTT:729491
Red_Phalarope,Phalaropus fulicarius,OTT:809003
Egyptian_Goose,Alopochen aegyptiaca,OTT:693339
Eastern_Whip-poor-will,Antrostomus vociferus,OTT:1039515
Yellow-headed_Blackbird,Xanthocephalus xanthocephalus,OTT:364331
Black-billed_Cuckoo,Coccyzus erythropthalmus,OTT:891417
Great_Black-backed_Gull,Larus marinus,OTT:887691
Tundra_Swan,Cygnus columbianus,OTT:207360
Ruff,Calidris pugnax,OTT:1090732
Red_Knot,Calidris canutus,OTT:214779
Eared_Grebe,Podiceps nigricollis,OTT:651477
Buff-bellied_Hummingbird,Amazilia yucatanensis,OTT:664787
Surf_Scoter,Melanitta perspicillata,OTT:972536
Cave_Swallow,Petrochelidon fulva,OTT:152808
Mourning_Warbler,Geothlypis philadelphia,OTT:900160
Red-necked_Grebe,Podiceps grisegena,OTT:740071
Iceland_Gull,Larus glaucoides,OTT:1061403
Black-chinned_Hummingbird,Archilochus alexandri,OTT:1002235
Olive-sided_Flycatcher,Contopus cooperi,OTT:1095262
Black-whiskered_Vireo,Vireo altiloquus,OTT:48944
Connecticut_Warbler,Oporornis agilis,OTT:659603
LeContes_Sparrow,Ammospiza leconteii,OTT:7068415
Bells_Vireo,Vireo bellii,OTT:48940
Henslows_Sparrow,Centronyx henslowii,OTT:292636
Masked_Booby,Sula dactylatra,OTT:170197
Fork-tailed_Flycatcher,Tyrannus savana,OTT:36409
Western_Meadowlark,Sturnella neglecta,OTT:283666
Brown_Booby,Sula leucogaster,OTT:1030310
Cinnamon_Teal,Spatula cyanoptera,OTT:82411
Allens_Hummingbird,Selasphorus sasin,OTT:951132
Harriss_Hawk,Parabuteo unicinctus,OTT:1034652
Neotropic_Cormorant,Phalacrocorax brasilianus,OTT:109023
Shiny_Cowbird,Molothrus bonariensis,OTT:213451
Limpkin,Aramus guarauna,OTT:1095362
Harriss_Sparrow,Zonotrichia querula,OTT:265552
Band-rumped_Storm-Petrel,Oceanodroma castro,OTT:496011
Mute_Swan,Cygnus olor,OTT:140314
Ash-throated_Flycatcher,Myiarchus cinerascens,OTT:501679
Glaucous_Gull,Larus hyperboreus,OTT:515357
Sooty_Tern,Onychoprion fuscatus,OTT:651055
Bronzed_Cowbird,Molothrus aeneus,OTT:213448
Broad-tailed_Hummingbird,Selasphorus platycercus,OTT:164175
White-faced_Ibis,Plegadis chihi,OTT:242774
White-winged_Scoter,Melanitta deglandi,OTT:5560147
Short-eared_Owl,Asio flammeus,OTT:509846
American_Flamingo,Phoenicopterus ruber,OTT:443650
Black-legged_Kittiwake,Rissa tridactyla,OTT:585161
Common_Merganser,Mergus merganser,OTT:88388
Brown_Noddy,Anous stolidus,OTT:915882
Red-necked_Phalarope,Phalaropus lobatus,OTT:57821
Burrowing_Owl,Athene cunicularia,OTT:944695
Long-tailed_Duck,Clangula hyemalis,OTT:316879
Swainsons_Hawk,Buteo swainsoni,OTT:1026126
Northern_Saw-whet_Owl,Aegolius acadicus,OTT:509850
Varied_Thrush,Ixoreus naevius,OTT:775708
American_Tree_Sparrow,Spizelloides arborea,OTT:463026
Bridled_Tern,Onychoprion anaethetus,OTT:7639
Alder_Flycatcher,Empidonax alnorum,OTT:203084
Tricolored_Munia,Lonchura malacca,OTT:474148
Wilsons_Storm-Petrel,Oceanites oceanicus,OTT:656591
Parasitic_Jaeger,Stercorarius parasiticus,OTT:742640
Barnacle_Goose,Branta leucopsis,OTT:799124
Bewicks_Wren,Thryomanes bewickii,OTT:932497
Great_Shearwater,Ardenna gravis,OTT:726165
Smiths_Longspur,Calcarius pictus,OTT:1002233
Great-tailed_Grackle,Quiscalus mexicanus,OTT:743411
White-headed_Buffalo-Weaver,Dinemellia dinemelli,OTT:653288
Fulvous_Whistling-Duck,Dendrocygna bicolor,OTT:662618
Mangrove_Cuckoo,Coccyzus minor,OTT:229931
Trumpeter_Swan,Cygnus buccinator,OTT:870606
Helmeted_Guineafowl,Numida meleagris,OTT:684046
Cockatiel,Nymphicus hollandicus,OTT:630645
Lazuli_Bunting,Passerina amoena,OTT:119888
Pomarine_Jaeger,Stercorarius pomarinus,OTT:219032
Black_Swan,Cygnus atratus,OTT:140312
Rosss_Turaco,Musophaga rossae,OTT:772741
White-cheeked_Pintail,Anas bahamensis,OTT:656778
Ring-necked_Pheasant,Phasianus colchicus,OTT:102719
Kelp_Gull,Larus dominicanus,OTT:418481
Ringed_Teal,Callonetta leucophrys,OTT:552044
Rose-ringed_Parakeet,Psittacula krameri,OTT:1020124
Cordilleran_Flycatcher,Empidonax occidentalis,OTT:675003
Corys_Shearwater,Calonectris diomedea,OTT:172646
Hudsonian_Godwit,Limosa haemastica,OTT:413324
Common_Raven,Corvus corax,OTT:140425
Violet-backed_Starling,Cinnyricinclus leucogaster,OTT:891274
Budgerigar,Melopsittacus undulatus,OTT:734818
Sabines_Gull,Xema sabini,OTT:558955
Long-tailed_Jaeger,Stercorarius longicaudus,OTT:742641
Plumbeous_Vireo,Vireo plumbeus,OTT:696279
Chukar,Alectoris chukar,OTT:51358
Brown-crested_Flycatcher,Myiarchus tyrannulus,OTT:129415
Snowy-crowned_Robin-Chat,Cossypha niveicapilla,OTT:288661
Sulphur-crested_Cockatoo,Cacatua galerita,OTT:290349
Spragues_Pipit,Anthus spragueii,OTT:664788
Saddle-billed_Stork,Ephippiorhynchus senegalensis,OTT:848594
Spotted_Thick-knee,Burhinus capensis,OTT:427706
Great_Cormorant,Phalacrocorax carbo,OTT:969841
Common_Ostrich,Struthio camelus,OTT:647692
Common_Snipe,Gallinago gallinago,OTT:615378
Groove-billed_Ani,Crotophaga sulcirostris,OTT:1041415
Muscovy_Duck,Cairina moschata,OTT:714469
Crested_Duck,Lophonetta specularioides,OTT:552046
Mandarin_Duck,Aix galericulata,OTT:765197
Scarlet_Macaw,Ara macao,OTT:851014
Graylag_Goose,Anser anser,OTT:190887
Blue-bellied_Roller,Coracias cyanogaster,OTT:3596438
Swan_Goose,Anser cygnoides,OTT:190892
Sharp-tailed_Sandpiper,Calidris acuminata,OTT:768489
Black-throated_Gray_Warbler,Setophaga nigrescens,OTT:935126
Prairie_Falcon,Falco mexicanus,OTT:183625
Annas_Hummingbird,Calypte anna,OTT:810756
Long-billed_Curlew,Numenius americanus,OTT:808998
Long-eared_Owl,Asio otus,OTT:1060752
Rough-legged_Hawk,Buteo lagopus,OTT:188484
Bachmans_Warbler,Vermivora bachmanii,OTT:237566
White-tailed_Kite,Elanus leucurus,OTT:153874
Evening_Grosbeak,Coccothraustes vespertinus,OTT:518149
Hammonds_Flycatcher,Empidonax hammondii,OTT:146936
Common_Redpoll,Acanthis flammea,OTT:38566
Sooty_Shearwater,Ardenna grisea,OTT:726166
Audubons_Shearwater,Puffinus lherminieri,OTT:982880
Carolina_Parakeet,Conuropsis carolinensis,OTT:461606
Curlew_Sandpiper,Calidris ferruginea,OTT:236666
Brant,Branta bernicla,OTT:135287
Leachs_Storm-Petrel,Oceanodroma leucorhoa,OTT:944658
Western_Grebe,Aechmophorus occidentalis,OTT:758343
Rivolis_Hummingbird,Eugenes fulgens,OTT:799185
Ruffed_Grouse,Bonasa umbellus,OTT:728082
Ivory-billed_Woodpecker,Campephilus principalis,OTT:78185
California_Gull,Larus californicus,OTT:119602
Sulphur-bellied_Flycatcher,Myiodynastes luteiventris,OTT:951121
Purple_Sandpiper,Calidris maritima,OTT:855479
Sage_Thrasher,Oreoscoptes montanus,OTT:259082
Garganey,Spatula querquedula,OTT:604176
Lesser_Nighthawk,Chordeiles acutipennis,OTT:484902
Lark_Bunting,Calamospiza melanocorys,OTT:948123
Rock_Wren,Salpinctes obsoletus,OTT:356961
Snowy_Owl,Bubo scandiacus,OTT:514178
Northern_Wheatear,Oenanthe oenanthe,OTT:1092950
Ferruginous_Hawk,Buteo regalis,OTT:155919
Kirtlands_Warbler,Setophaga kirtlandii,OTT:34665
Monk_Parakeet,Myiopsitta monachus,OTT:276609
Red-billed_Tropicbird,Phaethon aethereus,OTT:330009
Passenger_Pigeon,Ectopistes migratorius,OTT:506098
Mexican_Violetear,Colibri thalassinus,OTT:369029
Couchs_Kingbird,Tyrannus couchii,OTT:951133
MacGillivrays_Warbler,Geothlypis tolmiei,OTT:119891
Chestnut-collared_Longspur,Calcarius ornatus,OTT:765406
Spotted_Towhee,Pipilo maculatus,OTT:97318
Crested_Caracara,Caracara cheriway,OTT:1005432
Broad-billed_Hummingbird,Cynanthus latirostris,OTT:84795
White-winged_Crossbill,Loxia leucoptera,OTT:1060528
Clarks_Nutcracker,Nucifraga columbiana,OTT:425442
Short-tailed_Hawk,Buteo brachyurus,OTT:34347
Vauxs_Swift,Chaetura vauxi,OTT:174363
Flammulated_Owl,Psiloscops flammeolus,OTT:178676
Yellow-green_Vireo,Vireo flavoviridis,OTT:293381
Green-tailed_Towhee,Pipilo chlorurus,OTT:463020
Harlequin_Duck,Histrionicus histrionicus,OTT:679317
Costas_Hummingbird,Calypte costae,OTT:1002234
Arctic_Tern,Sterna paradisaea,OTT:809006
Townsends_Warbler,Setophaga townsendi,OTT:157200
Black_Swift,Cypseloides niger,OTT:882703
Glaucous-winged_Gull,Larus glaucescens,OTT:1092574
Dusky_Flycatcher,Empidonax oberholseri,OTT:119887
Snow_Bunting,Plectrophenax nivalis,OTT:453764
Hooded_Oriole,Icterus cucullatus,OTT:1077593
Ivory_Gull,Pagophila eburnea,OTT:154126
Painted_Redstart,Myioborus pictus,OTT:285205
Mountain_Plover,Charadrius montanus,OTT:112937
Razorbill,Alca torda,OTT:855485
Band-tailed_Pigeon,Patagioenas fasciata,OTT:148378
Northern_Goshawk,Accipiter gentilis,OTT:786433
White-eared_Hummingbird,Hylocharis leucotis,OTT:699784
Pin-tailed_Whydah,Vidua macroura,OTT:175250
White-crowned_Pigeon,Patagioenas leucocephala,OTT:773513
Pigeon_Guillemot,Cepphus columba,OTT:280900
Slaty-backed_Gull,Larus schistisagus,OTT:1092571
Rock_Sandpiper,Calidris ptilocnemis,OTT:236664
Pelagic_Cormorant,Phalacrocorax pelagicus,OTT:744568
Black-capped_Chickadee,Poecile atricapillus,OTT:17262
Marbled_Murrelet,Brachyramphus marmoratus,OTT:280902
Golden-crowned_Sparrow,Zonotrichia atricapilla,OTT:265554
Long-toed_Stint,Calidris subminuta,OTT:271794
Wood_Sandpiper,Tringa glareola,OTT:341975
Pacific_Wren,Troglodytes pacificus,OTT:3599091
Laysan_Albatross,Phoebastria immutabilis,OTT:320286
Mew_Gull,Larus canus,OTT:855472
Spectacled_Eider,Somateria fischeri,OTT:430245
Black-billed_Magpie,Pica hudsonia,OTT:669569
Brambling,Fringilla montifringilla,OTT:28332
Stellers_Jay,Cyanocitta stelleri,OTT:130921
Black_Turnstone,Arenaria melanocephala,OTT:654830
Thick-billed_Murre,Uria lomvia,OTT:551817
Chestnut-backed_Chickadee,Poecile rufescens,OTT:119889
Pine_Grosbeak,Pinicola enucleator,OTT:341471
Gray-tailed_Tattler,Tringa brevipes,OTT:596102
Black_Oystercatcher,Haematopus bachmani,OTT:234685
Short-tailed_Shearwater,Ardenna tenuirostris,OTT:471652
King_Eider,Somateria spectabilis,OTT:633262
Wandering_Tattler,Tringa incana,OTT:596104
Stellers_Eider,Polysticta stelleri,OTT:1050966
Yellow-billed_Loon,Gavia adamsii,OTT:90560
Violet-green_Swallow,Tachycineta thalassina,OTT:621801
Boreal_Chickadee,Poecile hudsonicus,OTT:171835
Northwestern_Crow,Corvus caurinus,OTT:183621
Red-breasted_Sapsucker,Sphyrapicus ruber,OTT:200801
