"x"
"Vireo gilvus"
"Gymnorhinus cyanocephalus"
"Cyanocitta cristata"
"Cyanocitta stelleri"
"Aphelocoma californica"
"Perisoreus canadensis"
"Nucifraga columbiana"
"Corvus brachyrhynchos"
"Corvus ossifragus"
"Corvus corax"
"Phainopepla nitens"
"Bombycilla garrulus"
"Bombycilla cedrorum"
"Cinclus mexicanus"
"Zoothera naevia"
"Sialia sialis"
"Sialia mexicana"
"Sialia currucoides"
"Myadestes townsendi"
"Catharus fuscescens"
"Catharus minimus"
"Catharus bicknelli"
"Catharus guttatus"
"Hylocichla mustelina"
"Turdus migratorius"
"Sturnus vulgaris"
"Dumetella carolinensis"
"Mimus polyglottos"
"Oreoscoptes montanus"
"Toxostoma rufum"
"Toxostoma curvirostre"
"Toxostoma redivivum"
"Sitta pygmaea"
"Sitta pusilla"
"Sitta canadensis"
"Sitta carolinensis"
"Certhia americana"
"Campylorhynchus brunneicapillus"
"Salpinctes obsoletus"
"Catherpes mexicanus"
"Cistothorus platensis"
"Cistothorus palustris"
"Thryomanes bewickii"
"Thryothorus ludovicianus"
"Troglodytes aedon"
"Auriparus flaviceps"
"Polioptila caerulea"
"Parus carolinensis"
"Parus atricapillus"
"Parus gambeli"
"Parus rufescens"
"Baeolophus inornatus"
"Baeolophus bicolor"
"Baeolophus atricristatus"
"Psaltriparus minimus"
"Tachycineta bicolor"
"Tachycineta thalassina"
"Progne subis"
"Stelgidopteryx serripennis"
"Riparia riparia"
"Hirundo rustica"
"Petrochelidon pyrrhonota"
"Petrochelidon fulva"
"Regulus calendula"
"Regulus satrapa"
"Chamaea fasciata"
"Eremophila alpestris"
"Passer domesticus"
"Passer montanus"
"Anthus rubescens"
"Carduelis pinus"
"Carduelis tristis"
"Carduelis psaltria"
"Carduelis lawrencei"
"Carduelis hornemanni"
"Carduelis flammea"
"Leucosticte tephrocotis"
"Leucosticte atrata"
"Carpodacus purpureus"
"Carpodacus cassinii"
"Carpodacus mexicanus"
"Pinicola enucleator"
"Loxia leucoptera"
"Coccothraustes vespertinus"
"Calcarius lapponicus"
"Calcarius pictus"
"Plectrophenax nivalis"
"Calamospiza melanocorys"
"Passerella iliaca"
"Melospiza melodia"
"Melospiza lincolnii"
"Melospiza georgiana"
"Zonotrichia querula"
"Zonotrichia albicollis"
"Zonotrichia leucophrys"
"Zonotrichia atricapilla"
"Junco hyemalis"
"Passerculus sandwichensis"
"Ammodramus maritimus"
"Ammodramus nelsoni"
"Ammodramus henslowii"
"Ammodramus savannarum"
"Spizella arborea"
"Spizella passerina"
"Spizella pallida"
"Spizella breweri"
"Spizella pusilla"
"Spizella atrogularis"
"Pooecetes gramineus"
"Chondestes grammacus"
"Amphispiza bilineata"
"Amphispiza belli"
"Aimophila aestivalis"
"Aimophila cassinii"
"Aimophila ruficeps"
"Pipilo chlorurus"
"Pipilo maculatus"
"Pipilo erythrophthalmus"
"Pipilo crissalis"
"Pipilo aberti"
"Vermivora pinus"
"Vermivora chrysoptera"
"Vermivora peregrina"
"Vermivora celata"
"Vermivora virginiae"
"Vermivora luciae"
"Parula americana"
"Dendroica petechia"
"Dendroica magnolia"
"Dendroica tigrina"
"Dendroica coronata"
"Dendroica nigrescens"
"Dendroica townsendi"
"Dendroica occidentalis"
"Dendroica virens"
"Dendroica fusca"
"Dendroica dominica"
"Dendroica pinus"
"Dendroica discolor"
"Dendroica palmarum"
"Dendroica castanea"
"Dendroica striata"
"Dendroica cerulea"
"Mniotilta varia"
"Setophaga ruticilla"
"Protonotaria citrea"
"Helmitheros vermivorum"
"Limnothlypis swainsonii"
"Seiurus aurocapilla"
"Seiurus noveboracensis"
"Seiurus motacilla"
"Oporornis formosus"
"Oporornis agilis"
"Oporornis philadelphia"
"Oporornis tolmiei"
"Geothlypis trichas"
"Wilsonia citrina"
"Wilsonia pusilla"
"Wilsonia canadensis"
"Myioborus pictus"
"Icteria virens"
"Piranga flava"
"Piranga rubra"
"Piranga olivacea"
"Piranga ludoviciana"
"Spiza americana"
"Pheucticus ludovicianus"
"Pheucticus melanocephalus"
"Cardinalis cardinalis"
"Cardinalis sinuatus"
"Passerina caerulea"
"Passerina amoena"
"Passerina cyanea"
"Passerina versicolor"
"Passerina ciris"
"Icterus galbula"
"Icterus bullockii"
"Icterus cucullatus"
"Icterus spurius"
"Icterus parisorum"
"Xanthocephalus xanthocephalus"
"Agelaius phoeniceus"
"Agelaius tricolor"
"Sturnella magna"
"Sturnella neglecta"
"Quiscalus mexicanus"
"Quiscalus major"
"Quiscalus quiscula"
"Euphagus carolinus"
"Euphagus cyanocephalus"
"Molothrus aeneus"
"Molothrus ater"
"Dolichonyx oryzivorus"
"Pica hudsonia"
"Dendragapus fuliginosus"
"Branta hutchinsii"
"Anas fulvigula"
"Himantopus mexicanus"
"Caracara cheriway"
"Butorides virescens"
"Gavia pacifica"
