species,common_name,difference,diff_SE,k,inat_medPred,inat_SE,inat_medResp,inat_GAM_pval,ebird_medPred,ebird_SE,ebird_medResp,ebird_GAM_pval,lb95CI,ub95CI,pval_uncorr,pval,sigdir,name_clean,specID,family,order,crest,max.color.contrast,pelagic,mass,shape,endangerment,all_success,rate,nhex
Spinus pinus,Pine_Siskin,-0.6103736687217625,0.14678003746490764,25,-6.494490195573149,0.156735340788386,0.00150946378612544,1,-6.026465968974141,0.00254969160635494,0.00240819669707282,0.8925,-0.8980572558024212,-0.32269008164110374,3.204504460784855e-5,1.0311092584702289e-4,Underreported,Pine_Siskin,OTT:559264,Fringillidae,Passeriformes,none,50,0,12.7,Finch,Least Concern,954908,0.02698496583473091,4636
Mergus serrator,Red-breasted_Merganser,-3.893428668948175,0.5370857669153385,25,-11.767214604475347,0.6625951429465099,7.754615378715422e-6,1,-7.326397727449541,0.00450420821269197,6.575068008269789e-4,0.91,-4.946097428711313,-2.8407599091850377,4.1931808802752286e-13,2.155841909098025e-12,Underreported,Red-breasted_Merganser,OTT:662625,Anatidae,Anseriformes,long,75,0,1015.17,Duck,Least Concern,782326,0.02210793121601421,3028
Columba livia,Rock_Pigeon,-1.1713437911874296,0.08127132962804809,25,-6.375038172354061,0.08314138222496326,0.00170065760250187,0.91,-5.187852573613044,0.02109655896656803,0.00555297740273837,0.9525,-1.330632670234087,-1.0120549121407723,4.3019937652245688e-47,4.3294532998962155e-46,Underreported,Rock_Pigeon,OTT:938416,Columbidae,Columbiformes,none,35,0,354.2,Dove,Least Concern,2927306,0.08272341670381107,4849
Oxyura jamaicensis,Ruddy_Duck,-0.7336919923568721,0.09035010501789298,25,-6.438315694274921,0.06873166310579745,0.00159654475203374,1,-5.8069527691461165,0.06744951829647729,0.00299756545043282,0.995,-0.910774944191354,-0.5566090405223902,4.640991352750016e-16,2.710109765247849e-15,Underreported,Ruddy_Duck,OTT:88378,Anatidae,Anseriformes,none,75,0,608.15,Duck,Least Concern,1211457,0.03423484330976975,4232
Bonasa umbellus,Ruffed_Grouse,0.5535445147982305,0.844545167006003,25,-5.858522004697841,0.9020691451003248,0.00284733048228345,1,-6.926943741540528,0.01396544430677202,9.800330570900594e-4,0.18,-1.1017335958509002,2.208822625447361,0.5121876826412757,0.712543452615657,Non-significant,Ruffed_Grouse,OTT:728082,Phasianidae,Galliformes,short,30,0,530.91,Game,Least Concern,121914,0.00344519589821782,1440
Antigone canadensis,Sandhill_Crane,0.35582066899692055,0.01846685704925705,25,-6.488719874018017,0.03152996814583106,0.00151818579420466,1,-6.6326314010568925,0.00360762162902364,0.00131496237129073,0.78,0.31962629427272715,0.39201504372111395,0,0,Overreported,Sandhill_Crane,OTT:257929,Gruidae,Gruiformes,none,50,0,4296.22,Heron,Least Concern,740269,0.02091943273436856,3608
Egretta thula,Snowy_Egret,-0.4021712313337089,0.06033558110099694,25,-6.6184432070446055,0.1192265386566672,0.00133372723423374,1,-6.3233270589665365,0.00785855292124567,0.00179075239208055,0.35,-0.5204267972779585,-0.2839156653894594,2.6363439960522972e-11,1.234644267458155e-10,Underreported,Snowy_Egret,OTT:126087,Ardeidae,Pelecaniformes,long,75,0,371,Heron,Least Concern,1612731,0.04557453800325416,2765
Pipilo maculatus,Spotted_Towhee,-1.0225972122430045,0.1244640213746541,25,-6.137525451665819,0.16390087218101598,0.00215560600888868,1,-5.229152547489739,0.00865769125639878,0.00532950823737329,0.2075,-1.26654221150835,-0.7786522129776591,2.103920105098476e-16,1.2439427621394738e-15,Underreported,Spotted_Towhee,OTT:97318,Passerellidae,Passeriformes,none,87.5,0,39.28,Sparrow,Least Concern,1538663,0.0434814332754198,2792
Melanitta perspicillata,Surf_Scoter,-0.01146099986804083,0.6478880271681701,25,-7.743622633333171,0.9378299254755788,4.333104823023638e-4,1,-8.85998058493433,0.01155158582649577,1.4193767109425782e-4,0.955,-1.281298199132362,1.2583761993962803,0.9858863298084574,0.9999810766357233,Non-significant,Surf_Scoter,OTT:972536,Anatidae,Anseriformes,none,85,0,1096.33,Duck,Least Concern,408601,0.01154675007962744,1608
Contopus sordidulus,Western_Wood-Pewee,-0.8957910981281851,0.3552364776302808,25,-6.268031739233584,0.379696571059387,0.00189236880097895,1,-5.174799198088333,0.00854656890307405,0.00562552721498172,1,-1.592041800278404,-0.19954039597796636,0.011679741977317025,0.02776139676015554,Underreported,Western_Wood-Pewee,OTT:1095260,Tyrannidae,Passeriformes,none,60,0,13.1,Flycatcher,Least Concern,463785,0.01310620748769586,2019
Zonotrichia leucophrys,White-crowned_Sparrow,-0.0310817880343599,0.10761105501146048,25,-5.0628307734359606,0.13916497570304398,0.00628783502828735,0.9925,-5.455324448660747,0.01871548631843156,0.00425530502504982,0.17,-0.24199558019518091,0.17983200412646108,0.772708009898476,0.9212031764945349,Non-significant,White-crowned_Sparrow,OTT:265553,Passerellidae,Passeriformes,none,66.5,0,28,Sparrow,Least Concern,2212211,0.06251538185271871,4914
Plegadis chihi,White-faced_Ibis,-0.8842822664215602,0.12303157604493746,25,-7.310633921724248,0.13219648200282455,6.679467576921979e-4,0.995,-6.503976332445541,0.01448950531595625,0.00149523381669736,0.5575,-1.1254197244308384,-0.6431448084122819,6.601662935795381e-13,3.3576199662701236e-12,Underreported,White-faced_Ibis,OTT:242774,Threskiornithidae,Pelecaniformes,none,60,0,616.89,Heron,Least Concern,297806,0.0084157685718183,2323
Xanthocephalus xanthocephalus,Yellow-headed_Blackbird,0.37714849404044504,0.17932728766349626,25,-5.7671631787241875,0.22035668128994665,0.00311886253718054,1,-6.221011321363033,0.00768492894916363,0.00198329319940282,0.7275,0.025673468774738473,0.7286235193061515,0.03545445808633185,0.07622708488561349,Non-significant,Yellow-headed_Blackbird,OTT:364331,Icteridae,Passeriformes,none,100,0,62.68,Blackbird,Least Concern,295236,0.00834314234793573,3183
Empidonax virescens,Acadian_Flycatcher,-4.0265639449851385,6.7588513217624495,20,-10.607367736772831,6.678386900678414,2.4732498025662024e-5,0.4425,-6.4859008743881645,0.00948647267181015,0.00152246507241153,1,-17.273669112500478,9.2205412225302,0.5513443985869535,0.7493847716426121,Non-significant,Acadian_Flycatcher,OTT:675007,Tyrannidae,Passeriformes,none,60,0,12.6,Flycatcher,Least Concern,296582,0.00838117927297306,2056
Melanerpes formicivorus,Acorn_Woodpecker,0.06274170088738806,0.04478476539738908,20,-5.189437276318824,0.07801041319289487,0.00554423330289812,1,-5.25467144747476,0.00386302509226381,0.00519592342979807,1,-0.025034826347570163,0.15051822812234628,0.16122579477581045,0.28455149600357593,Non-significant,Acorn_Woodpecker,OTT:576224,Picidae,Piciformes,none,80,0,79.62,Woodpecker,Least Concern,601500,0.01699792749625162,580
Recurvirostra americana,American_Avocet,0.33228498933845363,0.03041962110537132,20,-6.5400820999235245,0.03713249104381488,0.00144228671595704,0.89,-6.60048374698328,0.00389345367862152,0.00135786382157503,0.2025,0.2726636275485713,0.39190635112833594,0,0,Overreported,American_Avocet,OTT:427710,Recurvirostridae,Charadriiformes,none,85,0,304.48,Shorebird,Least Concern,436995,0.01234914268698999,2926
Botaurus lentiginosus,American_Bittern,-0.13299162131533793,0.2262462228405048,20,-8.145017651908574,0.24274556094521185,2.900933508369144e-4,1,-8.037066831429312,0.00282419958636065,3.231512639511802e-4,1,-0.5764260697209507,0.31044282709027476,0.5566544041226611,0.7544341924069303,Non-significant,American_Bittern,OTT:729491,Ardeidae,Pelecaniformes,none,20,0,706,Heron,Least Concern,151512,0.00428161261980395,2597
Anas rubripes,American_Black_Duck,-1.1631990113220287,1.4021549228083594,20,-6.9684745162392545,1.5117989073985567,9.402026121191286e-4,1,-6.449092237634428,0.1265684988552988,0.00157945892169706,1,-3.9113721607719523,1.5849741381278948,0.4067765584811264,0.6045803925613809,Non-significant,American_Black_Duck,OTT:604178,Anatidae,Anseriformes,none,30,0,1240.96,Duck,Least Concern,820896,0.02319788975887444,1585
Fulica americana,American_Coot,-0.08808292569316434,0.05947522031827119,20,-5.017288134076976,0.0429103468673405,0.00657889314051937,0.9975,-5.00961007018031,0.05424086119054189,0.00662926456736359,0.965,-0.2046522154895607,0.02848636410323202,0.13860601611474907,0.2521563293164473,Non-significant,American_Coot,OTT:570965,Rallidae,Gruiformes,none,75,0,636.74,Duck,Least Concern,2466975,0.0697148166002749,4668
Cinclus mexicanus,American_Dipper,1.1736474198296318,0.4131841466059647,20,-5.244867395131291,0.4493636582074123,0.00524684647311844,1,-6.678073547976549,0.00388538561904946,0.00125661842363553,0.965,0.36382137349902355,1.9834734661602402,0.00450436073388194,0.011272818132942635,Overreported,American_Dipper,OTT:606627,Cinclidae,Passeriformes,none,45,0,56.68,Thrush,Least Concern,64871,0.00183320457956664,961
Spinus tristis,American_Goldfinch,-0.5498453329079486,0.03080452510103129,20,-4.893765514097842,0.0426177704822828,0.00743742394840173,0.9975,-4.350712668646081,0.00317064353003535,0.01273338721792447,0.2675,-0.61022109266683,-0.4894695731490672,2.9164211091623714e-71,3.448667961584504e-70,Underreported,American_Goldfinch,OTT:559260,Fringillidae,Passeriformes,none,100,0,12.79,Finch,Least Concern,6598742,0.18647537503320105,4895
Spizelloides arborea,American_Tree_Sparrow,-0.5312085009649934,0.3219385790101498,20,-6.254987641486116,0.3436497432451809,0.00191716710490837,0.82,-5.986178561737869,0.01428616106020295,0.00250694936173635,0.625,-1.1621965210588896,0.0997795191289026,0.09893668124712578,0.1886977831850423,Non-significant,American_Tree_Sparrow,OTT:463026,Passerellidae,Passeriformes,none,44,0,17.83,Sparrow,Least Concern,716988,0.02026152957553194,2632
Pelecanus erythrorhynchos,American_White_Pelican,0.7406457282779257,0.02566490062641916,20,-5.120019718846436,0.02635344221292452,0.00594040575510404,1,-5.714502923623275,0.00106079227999966,0.00328694969972361,0.8025,0.6903434473833447,0.7909480091725067,0,0,Overreported,American_White_Pelican,OTT:316989,Pelecanidae,Pelecaniformes,short,75,0,5608.48,Seabird,Least Concern,775086,0.02190333438297537,3329
Mareca americana,American_Wigeon,-0.6958703042239096,0.08871934007667931,20,-6.6548674490571855,0.07494213993292126,0.00128608268437044,1,-5.863585700200302,0.06973952259945426,0.00283298965325086,0.88,-0.8697570155063621,-0.5219835929414571,4.381528154616916e-15,2.382141169119312e-14,Underreported,American_Wigeon,OTT:656788,Anatidae,Anseriformes,none,60,0,754.61,Duck,Least Concern,1161067,0.03281086065551186,4349
Scolopax minor,American_Woodcock,0.4457109584669338,0.7359905230082925,20,-7.217378378104534,0.7598027619669159,7.331854897434955e-4,0.5325,-7.880678087851653,0.00500240513680748,3.778338560962835e-4,0.7525,-0.9968039595921172,1.8882258765259847,0.5447848264599466,0.742602947883443,Non-significant,American_Woodcock,OTT:244702,Scolopacidae,Charadriiformes,none,40,0,196.32,Shorebird,Least Concern,126404,0.0035720798457792,2252
Anhinga anhinga,Anhinga,0.6171990605226099,0.2610134882142407,20,-4.955221980491114,0.3625206502872024,0.00699720996554882,1,-6.130046530448225,0.04270684932429279,0.00217175290969313,1,0.10562202414352828,1.1287760969016913,0.018048327901174277,0.04152522465520826,Overreported,Anhinga,OTT:170196,Anhingidae,Suliformes,none,65,0,1235,Seabird,Least Concern,514318,0.01453423121199857,898
Calypte anna,Annas_Hummingbird,0.11878462176174742,0.16986279368355106,20,-4.680211943127814,0.20339938756889256,0.00919177493975969,0.9975,-4.935225904451455,0.01647310856842602,0.0071375262609741,0.895,-0.2141403361713704,0.4517095796948652,0.48436614821638146,0.68665632036164,Non-significant,Annas_Hummingbird,OTT:810756,Trochilidae,Caprimulgiformes,none,100,0,4.24,Hummingbird,Least Concern,1576091,0.04453911977638358,908
Calidris bairdii,Bairds_Sandpiper,-2.9213421009268865,1.0336982620032829,20,-10.770873740414856,1.008737091813572,2.100196102208938e-5,1,-7.712017980104407,0.01120512442200739,4.47217592476222e-4,0.95,-4.947353465334969,-0.8953307365188041,0.0047117492603981105,0.011729775790359507,Underreported,Bairds_Sandpiper,OTT:654826,Scolopacidae,Charadriiformes,none,50,0,40.97,Shorebird,Least Concern,100057,0.00282753388444297,2629
Haliaeetus leucocephalus,Bald_Eagle,0.9698796960094612,0.01633699976854808,20,-4.392131836181502,0.02044898224462738,0.0122230688775732,0.84,-5.295467361042153,0.00687759268095143,0.00498925289031036,0.2175,0.9378597648476678,1.0018996271712546,0,0,Overreported,Bald_Eagle,OTT:1012350,Accipitridae,Accipitriformes,none,80,0,4700.58,Hawk/Falcon,Least Concern,2127070,0.06010936265910548,4553
Icterus galbula,Baltimore_Oriole,0.2306872661616879,0.11414788567826568,20,-5.586768054454279,0.1422548385000691,0.00373313031666485,1,-5.869961838081789,0.00273866365553416,0.00281503427388717,0.615,0.006961521320891728,0.454413011002484,0.043284853630825015,0.09059175118309837,Non-significant,Baltimore_Oriole,OTT:1077595,Icteridae,Passeriformes,none,90,0,32.83,Blackbird,Least Concern,1255851,0.03548938361445569,3211
Patagioenas fasciata,Band-tailed_Pigeon,-1.1950525435338857,0.49811211479610834,20,-7.545824425977582,0.6124913859886517,5.280325660674731e-4,0.1875,-6.729424381235399,0.01421747451023212,0.00119379390441349,1,-2.171334348797339,-0.21877073827043259,0.01643256302130691,0.03847822925286221,Underreported,Band-tailed_Pigeon,OTT:148378,Columbidae,Columbiformes,none,20,0,366.3,Dove,Least Concern,294067,0.00831010730680004,789
Tyto alba,Barn_Owl,0.2444153343387614,0.11775086141838954,20,-7.999856223677285,0.14877456921941756,3.3539833316881154e-4,1,-8.322228022006957,0.00704024381226808,2.429946706840377e-4,0.9925,0.013627886810150924,0.47520278186737186,0.03792180710935189,0.08079736379605156,Non-significant,Barn_Owl,OTT:1065606,Tytonidae,Strigiformes,none,55,0,403.32,Owl,Least Concern,89569,0.00253115106884748,2290
Strix varia,Barred_Owl,1.1698272154016995,0.03478914323022041,20,-5.427875157219775,0.03657938359418351,0.00437321012225367,1,-6.5012085502940264,0.00538365435482606,0.00149937181694505,0.97,1.101641747617462,1.238012683185937,0,0,Overreported,Barred_Owl,OTT:509065,Strigidae,Strigiformes,none,35,0,711.49,Owl,Least Concern,393267,0.01111342303020513,2995
Bucephala islandica,Barrows_Goldeneye,-1.1475807054012326,5.310674624090255,20,-8.713638256876948,5.270538538010662,1.6430229368530176e-4,1,-7.381345953683168,0.02783969315980656,6.223745214198995e-4,0.9975,-11.55631170222892,9.261150291426455,0.8289180309476776,0.9614974968689841,Non-significant,Barrows_Goldeneye,OTT:780952,Anatidae,Anseriformes,none,90,0,921.21,Duck,Least Concern,81501,0.00230315559247215,964
Setophaga castanea,Bay-breasted_Warbler,-0.994745081450747,1.0310665182955816,20,-8.612243738300418,1.0484620040866854,1.818323249249049e-4,0.6075,-7.782637183631765,0.02773978036647077,4.1673750949491856e-4,0.4975,-3.0155983229751953,1.0261081600737012,0.33465854977965037,0.5207022830453113,Non-significant,Bay-breasted_Warbler,OTT:85255,Parulidae,Passeriformes,none,55,0,11.8,Warbler,Least Concern,153351,0.00433358134576505,2135
Vireo bellii,Bells_Vireo,-3.931398222031606,14.315704832506432,20,-10.478968499681422,14.600887204836893,2.8120924320172297e-5,1,-7.051370505601232,0.01234891080089136,8.654712933270892e-4,0.75,-31.989664107050217,24.126867662987,0.7836071599834198,0.922005439482979,Non-significant,Bells_Vireo,OTT:48940,Vireonidae,Passeriformes,none,40,0,8.5,Warbler,Least Concern,163086,0.00460868496035526,1664
Megaceryle alcyon,Belted_Kingfisher,-0.48496266141191713,0.04918346403980768,20,-5.656732686934902,0.04192106317531323,0.00348174904827622,0.995,-5.16833931854417,0.03160602055793417,0.00566177865674373,0.1,-0.581360479564861,-0.3885648432589732,6.187741595728139e-23,4.1222560208160702e-22,Underreported,Belted_Kingfisher,OTT:839181,Alcedinidae,Coraciiformes,long,70,0,148,Kingfisher,Least Concern,2413159,0.06819401782032763,4752
Sayornis nigricans,Black_Phoebe,-0.24701997286177768,0.08246119903816863,20,-5.144010358468865,0.1302292850241285,0.00580040433756174,0.9875,-5.007482604458446,0.00237112876904992,0.0066432893199412,0.915,-0.4086409530985771,-0.08539899262497824,0.0027391413276322742,0.007041379608532966,Underreported,Black_Phoebe,OTT:568705,Tyrannidae,Passeriformes,none,75,0,18.63,Flycatcher,Least Concern,1402836,0.0396430666951482,1061
Chlidonias niger,Black_Tern,-5.937402319609515,1.405929158379259,20,-13.768672859007395,1.411223269981464,1.047950813386079e-6,1,-7.684199114935202,0.00805788010414737,4.598275416517555e-4,0.93,-8.692972834847572,-3.1818318043714586,2.409474258561291e-5,7.859871202065454e-5,Underreported,Black_Tern,OTT:234666,Laridae,Charadriiformes,none,65,0,65.3,Gull/Tern,Least Concern,138257,0.00390703651180259,2736
Coragyps atratus,Black_Vulture,0.1488705896017235,0.04037699863884127,20,-4.883570821568638,0.0402507797275936,0.00751306143691569,0.9725,-5.02374579046352,0.00175841617346113,0.00653682260582587,0.4875,0.06973312646577184,0.22800805273767516,2.2690020864368776e-4,6.666074452699647e-4,Overreported,Black_Vulture,OTT:316995,Cathartidae,Cathartiformes,none,60,0,1881.69,Hawk/Falcon,Least Concern,1526207,0.04312943629305354,2094
Mniotilta varia,Black-and-white_Warbler,-0.26535615094841414,0.07051402076381062,20,-6.345596338679941,0.08574589748571843,0.00175138345508584,1,-6.186244235581867,0.00808205803726981,0.00205331511719387,0.545,-0.4035610920505925,-0.1271512098462358,1.67773988648227e-4,5.054592142077158e-4,Underreported,Black-and-white_Warbler,OTT:757859,Parulidae,Passeriformes,none,100,0,10.9,Warbler,Least Concern,992488,0.02804694773881925,3407
Picoides arcticus,Black-backed_Woodpecker,1.3652236556499813,144.0164214533965,20,-5.168176657903132,144.07585106213926,0.00566269446472016,0.95,-7.572155721786081,0.02200320422757292,5.143172981504664e-4,0.97,-280.9017755753487,283.63222288664866,0.992436455846341,0.9999810766357233,Non-significant,Black-backed_Woodpecker,OTT:329874,Picidae,Piciformes,none,95,0,69.24,Woodpecker,Least Concern,15798,4.464393326446935e-4,537
Pluvialis squatarola,Black-bellied_Plover,-2.459657994077486,0.30937992646521023,20,-10.829234086260117,0.34658135109300237,1.981138277466258e-5,1,-8.058605180981644,0.00765985092310165,3.1626771656859305e-4,0.9775,-3.0660315074889484,-1.8532844806660238,1.8608580996793982e-15,1.0355128013510063e-14,Underreported,Black-bellied_Plover,OTT:917054,Charadriidae,Charadriiformes,none,85,0,250,Shorebird,Least Concern,533494,0.01507613022724067,2023
Dendrocygna autumnalis,Black-bellied_Whistling-Duck,0.9688659108049944,0.15557230126218607,20,-5.4055232526562165,0.18737234783392895,0.00447161830683811,0.995,-6.965209161183452,0.0157029204197469,9.432748247311274e-4,1,0.6639498033390945,1.2737820182708943,4.731712799355137e-10,2.1520193789374806e-9,Overreported,Black-bellied_Whistling-Duck,OTT:662608,Anatidae,Anseriformes,none,80,0,755.3,Duck,Least Concern,284629,0.0080433966838414,988
Coccyzus erythropthalmus,Black-billed_Cuckoo,-0.5647511948579433,2.0502620084855714,20,-8.402778987188684,2.099852067527709,2.241930144825459e-4,1,-8.260385855316306,0.01311099127432013,2.5849236994604014e-4,0.2725,-4.5831908903604175,3.45368850064453,0.7829680900723681,0.922005439482979,Non-significant,Black-billed_Cuckoo,OTT:891417,Cuculidae,Cuculiformes,none,60,0,50.9,Thrush,Least Concern,80900,0.00228617179459144,1864
Pica hudsonia,Black-billed_Magpie,-1.2564261552238736,0.59093800762692406,20,-5.221862081782973,0.6286446485000449,0.00536829546814466,0.9975,-4.323869682454489,0.0017601443649571,0.01307528848981271,0.86,-2.4146433672685004,-0.098208943179247,0.03349030552542355,0.07299960605311218,Non-significant,Black-billed_Magpie,OTT:669569,Corvidae,Passeriformes,none,90,0,177.12,Crow/Jay,Least Concern,685739,0.01937845686342825,1489
Poecile atricapillus,Black-capped_Chickadee,-0.816409898801183,0.1318840188125822,20,-4.664610354700047,0.15930768209765422,0.00933495656388886,1,-3.9461611881021903,4.939538371134973e-4,0.01896224239508262,0.1175,-1.0748978258102468,-0.557921971792119,6.002596790196532e-10,2.678517246946188e-9,Underreported,Black-capped_Chickadee,OTT:17262,Paridae,Passeriformes,none,90,0,10.8,Chickadee,Least Concern,4986561,0.1409163796070424,2559
Archilochus alexandri,Black-chinned_Hummingbird,-0.4608838297210276,0.11452302054139976,20,-6.136433243875237,0.18150984882978244,0.00215795658136059,0.9175,-5.855511574298001,0.00305565241727912,0.00285589057102728,0.7425,-0.685344825382912,-0.2364228340591433,5.712629932762846e-5,1.8013826387978842e-4,Underreported,Black-chinned_Hummingbird,OTT:1002235,Trochilidae,Caprimulgiformes,none,100,0,3.39,Hummingbird,Least Concern,399517,0.01129004322447208,1846
Pheucticus melanocephalus,Black-headed_Grosbeak,-0.5667661335491663,0.18057647550465533,20,-6.049463807191557,0.22946140547950752,0.00235357423453282,1,-5.534102565055795,0.00861307394509648,0.00393421252851993,0.9525,-0.92068952199347,-0.21284274510486262,0.0016972875095606595,0.004460094400123289,Underreported,Black-headed_Grosbeak,OTT:425436,Cardinalidae,Passeriformes,none,75,0,47.13,Finch,Least Concern,544411,0.01538463625297064,2164
Himantopus mexicanus,Black-necked_Stilt,0.00233830995739259,0.01513404855723204,20,-6.45910357882377,0.02237486552751889,0.00156374991167111,0.705,-6.439352097621457,0.00247349882665279,0.00159489358250996,0.925,-0.027323880155062576,0.032000500069847754,0.87721033003167,0.9762834967176,Non-significant,Black-necked_Stilt,OTT:427701,Recurvirostridae,Charadriiformes,none,90,0,176.82,Shorebird,Not Listed,565893,0.01599170105508948,2165
Setophaga virens,Black-throated_Green_Warbler,-0.5472704692083654,0.3961956555276296,20,-6.7698374739382245,0.44211663574588006,0.00114656507586102,1,-6.698327821922547,0.00905039689048013,0.00123145358076109,0.2175,-1.323799684873757,0.22925874645702593,0.1671825413350195,0.2917983101530045,Non-significant,Black-throated_Green_Warbler,OTT:1014098,Parulidae,Passeriformes,none,80,0,8.69,Warbler,Least Concern,629695,0.0177946965166287,2605
Amphispiza bilineata,Black-throated_Sparrow,0.03128974913582794,0.04098928737184289,20,-5.900494283948122,0.06731740762550675,0.00273061441874896,1,-5.824218013587721,0.0044335379019855,0.00294640713885362,0.965,-0.04904777786494656,0.11162727613660244,0.4452463030896152,0.6480046195735015,Non-significant,Black-throated_Sparrow,OTT:292646,Passerellidae,Passeriformes,none,70,0,13.5,Sparrow,Least Concern,178295,0.00503847960589224,1178
Setophaga fusca,Blackburnian_Warbler,-0.5187944503694506,0.637128369159364,20,-7.499340194968383,0.6967025961651652,5.531432815877692e-4,0.9175,-7.359116140284231,0.01309055965306542,6.363558117283386e-4,0.9525,-1.767543107450544,0.7299542067116427,0.41549035200021966,0.6122334470283611,Non-significant,Blackburnian_Warbler,OTT:292920,Parulidae,Passeriformes,none,60,0,9.74,Warbler,Least Concern,281125,0.00794437633812757,2355
Cyanocitta cristata,Blue_Jay,-0.9239872574091684,0.04051649535273747,20,-4.73079629052136,0.04696938171141282,0.00874234278719819,1,-3.683202186865931,2.8420127060407386e-4,0.02452570191485511,0.855,-1.0033981290803182,-0.8445763857380185,4.070432557928631e-115,5.3480961108340064e-114,Underreported,Blue_Jay,OTT:30736,Corvidae,Passeriformes,long,90,0,88,Crow/Jay,Least Concern,7619475,0.2153205047539515,3636
Polioptila caerulea,Blue-gray_Gnatcatcher,-0.6679458826462361,0.04296100101211251,20,-5.946196408543438,0.0515479385741348,0.00260894653826043,0.9975,-5.2630250957584135,0.00197477726681215,0.00515292203444055,0.4275,-0.7521478973697654,-0.5837438679227068,1.6485544230789505e-54,1.7721960048098718e-53,Underreported,Blue-gray_Gnatcatcher,OTT:443266,Polioptilidae,Passeriformes,none,60,0,5.8,Chickadee,Least Concern,2079006,0.05875111097634598,4207
Vireo solitarius,Blue-headed_Vireo,-0.6910416891737636,0.39190094205791354,20,-7.0737500856791264,0.4388883260862478,8.463337456334697e-4,1,-6.7224937245165135,0.01391482270509012,0.00120208643752101,0.6625,-1.4591534211145927,0.0770700427670653,0.07784871899737864,0.15406880370610918,Non-significant,Blue-headed_Vireo,OTT:48934,Vireonidae,Passeriformes,none,50,0,15.3,Warbler,Least Concern,521212,0.01472905035108279,2809
Spatula discors,Blue-winged_Teal,-0.21703569740100237,0.3193104570683308,20,-6.0858019784602675,0.3056506522858505,0.00226977553907119,1,-5.890114439950418,0.00752389572780328,0.0027590267731727,1,-0.8428726931419538,0.40880129833994894,0.496693682872666,0.6950772544342337,Non-significant,Blue-winged_Teal,OTT:82415,Anatidae,Anseriformes,none,37.5,0,359.44,Duck,Least Concern,1012041,0.02859950048417953,4470
Vermivora cyanoptera,Blue-winged_Warbler,-2.0180804129012557,2.8943399688338403,20,-9.163783106533804,2.926932781321207,1.0475483247078972e-4,0.9975,-7.484081228575127,0.03727978696427218,5.616436241273047e-4,0.945,-7.690882510830365,3.6547216850278526,0.48564594878368783,0.68665632036164,Non-significant,Blue-winged_Warbler,OTT:3597221,Parulidae,Passeriformes,none,80,0,8.9,Warbler,Least Concern,224293,0.00633834771723485,1913
Dolichonyx oryzivorus,Bobolink,0.30031555144011435,0.3438231038312081,20,-6.617812340311772,0.374153764929135,0.00133456778057411,1,-7.356861785853107,0.013215015722898951,6.377910855153962e-4,0.8025,-0.3735653491218289,0.9741964520020576,0.3824126797963665,0.5742260239481948,Non-significant,Bobolink,OTT:858292,Icteridae,Passeriformes,none,85,0,31.46,Blackbird,Least Concern,284080,0.00802788236597699,2818
Bombycilla garrulus,Bohemian_Waxwing,0.8668408882117693,106.3965681441848,20,-7.049331669047774,106.41121832526134,8.672361160316723e-4,1,-7.935522308846483,0.01847313696454611,3.576770585060938e-4,0.85,-207.66660075305202,209.40028252947556,0.9934994960652781,0.9999810766357233,Non-significant,Bohemian_Waxwing,OTT:613881,Bombycillidae,Passeriformes,long,40,0,54.41,Flycatcher,Least Concern,25155,7.108609578856353e-4,986
Chroicocephalus philadelphia,Bonapartes_Gull,-0.7785350271027447,0.05589192598298759,20,-7.955760593428067,0.06440946904393614,3.505135586743013e-4,1,-7.026693878234392,0.01055186802485323,8.87074714289384e-4,0.985,-0.8880811890559788,-0.6689888651495106,4.204958111158237e-44,4.1436358053705124e-43,Underreported,Bonapartes_Gull,OTT:1026258,Laridae,Charadriiformes,none,70,0,210.71,Gull/Tern,Least Concern,443201,0.0125245194750893,3136
Branta bernicla,Brant,-0.3541541563900992,0.6448247684900514,20,-8.318262452589899,0.8707334897228588,2.43959960532768e-4,1,-9.07845258345116,0.01149277496485986,1.1408501122552708e-4,0.98,-1.6179874789699782,0.9096791661897796,0.5828507593848946,0.778780816918235,Non-significant,Brant,OTT:135287,Anatidae,Anseriformes,none,55,0,1277.91,Duck,Least Concern,237154,0.00670178968818962,601
Euphagus cyanocephalus,Brewers_Blackbird,-0.5694908871110824,0.12812623916711074,20,-6.224173095317713,0.1806188789643277,0.00197704475541311,1,-6.0398490869315244,0.00117916580099053,0.00237625829586423,0.3825,-0.8206137013531847,-0.31836807286898017,8.798842729014184e-6,2.9941385689379204e-5,Underreported,Brewers_Blackbird,OTT:264500,Icteridae,Passeriformes,none,52.5,0,62.48,Blackbird,Least Concern,853998,0.02413332682617439,3852
Selasphorus platycercus,Broad-tailed_Hummingbird,-1.1363518659329366,1.3570300646189093,20,-6.29191017280077,1.484745079301881,0.00184779973189735,0.975,-5.907217743863795,0.01396557450813973,0.00271236645245042,0.975,-3.7960819185240604,1.5233781866581875,0.40237816332236387,0.6003939156198048,Non-significant,Broad-tailed_Hummingbird,OTT:164175,Trochilidae,Caprimulgiformes,none,100,0,3.54,Hummingbird,Least Concern,232290,0.0065643367882033,1083
