species,common_name,difference,diff_SE,k,inat_medPred,inat_SE,inat_medResp,inat_GAM_pval,ebird_medPred,ebird_SE,ebird_medResp,ebird_GAM_pval,lb95CI,ub95CI,pval_uncorr,pval,sigdir,name_clean,specID,family,order,crest,max.color.contrast,pelagic,mass,shape,endangerment,all_success,rate,nhex
Zenaida macroura,Mourning_Dove,-1.1047857381099422,0.02551261056007455,30,-4.872131082150773,0.02834868591579438,0.00759884553883076,1,-3.7263754241490457,0.00504011801228513,0.02351374744542792,0.2675,-1.1547895359592846,-1.0547819402605998,0,0,Underreported,Mourning_Dove,OTT:183576,Columbidae,Columbiformes,none,22.5,0,118.93,Dove,Least Concern,9483520,0.2679969831575265,5189
Colaptes auratus,Northern_Flicker,-0.7711728787957173,0.0434478917898397,30,-5.191856740842413,0.04898357728410151,0.0055309095438318,1,-4.401214679044793,0.00746597235564105,0.0121138901276243,0.9275,-0.8563291819079966,-0.686016575683438,1.7428604096889164e-70,2.0106657897142864e-69,Underreported,Northern_Flicker,OTT:733990,Picidae,Piciformes,none,50,0,131.46,Woodpecker,Least Concern,4863086,0.13742707104910443,5105
Mimus polyglottos,Northern_Mockingbird,-0.3634381680240988,0.06700152528402677,30,-4.642791782785397,0.0854797636121108,0.0095389059961993,1,-4.523863823041673,0.00909038361888569,0.01073063603720894,1,-0.49475874449004104,-0.23211759155815653,5.8173371681713097e-8,2.274049983921512e-7,Underreported,Northern_Mockingbird,OTT:571310,Mimidae,Passeriformes,none,65,0,48.5,Thrush,Least Concern,4479441,0.1265855583403772,4101
Pandion haliaetus,Osprey,0.2699084620331482,0.06044291053710381,30,-5.505248762989636,0.03713678308985205,0.00404891676604807,1,-5.857972800594615,0.06334765430796119,0.00284889022113937,1,0.15144253425964824,0.3883743898066482,7.98779903665725e-6,2.757831346232759e-5,Overreported,Osprey,OTT:509837,Pandionidae,Accipitriformes,short,70,0,1483.2,Hawk/Falcon,Least Concern,2022839,0.05716387474412326,4447
Passerina ciris,Painted_Bunting,0.4250519804754709,0.2592021596928092,30,-5.356060100892002,0.32427016554018856,0.00469729502342666,0.5175,-6.296992204103583,0.02295239949113745,0.00183845019736111,0.99,-0.08297491723743478,0.9330788781883764,0.10103690559889333,0.19116182539310617,Non-significant,Painted_Bunting,OTT:887250,Cardinalidae,Passeriformes,none,100,0,15.54,Finch,Least Concern,201250,0.0056871702553959,1461
Dryocopus pileatus,Pileated_Woodpecker,-0.09268719729976473,0.09881612533134056,30,-5.152406462826775,0.10536648395555603,0.00575218637827206,1,-5.020151925804576,0.00119265501293512,0.00656020293399643,0.99,-0.2863632440409883,0.10098884944145885,0.3482565186810645,0.5357093036222593,Non-significant,Pileated_Woodpecker,OTT:733984,Picidae,Piciformes,long,90,0,286.59,Woodpecker,Least Concern,1729568,0.04887626178526505,3125
Haemorhous purpureus,Purple_Finch,-0.7944747000336592,0.5552904082745521,30,-6.9304446167904805,0.5821970938727977,9.76611427188637e-4,1,-6.519302541760894,0.00628177252907972,0.00147252575379713,0.99,-1.8828239012123236,0.29387450114500524,0.1525055184974775,0.2711846249973942,Non-significant,Purple_Finch,OTT:641497,Fringillidae,Passeriformes,none,80,0,23.3,Finch,Least Concern,762044,0.02153477749119463,3103
Buteo lineatus,Red-shouldered_Hawk,0.1883847271488448,0.05839679524808368,30,-5.189514659679041,0.09364896886910856,0.00554380666646996,1,-5.578859358016981,0.00375337237719435,0.0037626600384792,0.8325,0.07392911165004103,0.3028403426476486,0.0012555840256964768,0.0033743820690592813,Overreported,Red-shouldered_Hawk,OTT:781301,Accipitridae,Accipitriformes,none,55,0,603.72,Hawk/Falcon,Least Concern,1738500,0.04912867323729584,3232
Buteo jamaicensis,Red-tailed_Hawk,0.28978237752272906,0.01862283522163326,30,-4.186095973423684,0.02208999193021901,0.01497778673287935,0.9925,-4.426827391123783,0.00538522653352769,0.01181117837974404,1,0.25328229119830387,0.32628246384715426,0,0,Overreported,Red-tailed_Hawk,OTT:509839,Accipitridae,Accipitriformes,none,50,0,1101.16,Hawk/Falcon,Least Concern,4474005,0.12643194116021156,5181
Agelaius phoeniceus,Red-winged_Blackbird,-0.5428029270650598,0.03983933263693284,30,-4.630528124842929,0.03690025579432707,0.00965547166104638,1,-4.053181078222421,0.02351004545558764,0.01707057538184706,0.865,-0.6208865842015593,-0.4647192699285604,2.8519168920929163e-42,2.6450131175685286e-41,Underreported,Red-winged_Blackbird,OTT:226605,Icteridae,Passeriformes,none,52.5,0,50.78,Blackbird,Least Concern,6918867,0.19552186138355443,5086
Larus delawarensis,Ring-billed_Gull,-0.797111903163501,0.05827290508527111,30,-5.832750643467534,0.02623617389094289,0.00292144662504014,1,-5.024106916926609,0.05619485122906587,0.00653447783501989,1,-0.9113246984051533,-0.6828991079218487,1.3564520790659217e-42,1.2832036667963621e-41,Underreported,Ring-billed_Gull,OTT:119599,Laridae,Charadriiformes,none,70,0,516.31,Gull/Tern,Least Concern,3631131,0.10261297002060128,4365
Phasianus colchicus,Ring-necked_Pheasant,-0.3544926287417214,0.6882589194599803,30,-6.671937503283971,0.7050715143598338,0.00126434301650371,1,-6.567618281119069,0.01344168167170088,0.00140316843036765,1,-1.7034553229217364,0.9944700654382934,0.6065131342195957,0.7990028899880988,Non-significant,Ring-necked_Pheasant,OTT:102719,Phasianidae,Galliformes,short,70,0,1120.31,Game,Least Concern,337794,0.00954579870435381,2587
Regulus calendula,Ruby-crowned_Kinglet,-0.738930395025067,0.16231674373081084,30,-5.746771072750681,0.1657939429767578,0.00318291110194113,1,-5.1676982834341025,0.036538001361948,0.00566538865063557,0.9825,-1.0570653668252739,-0.4207954232248602,5.303791533715288e-6,1.8721592503338292e-5,Underreported,Ruby-crowned_Kinglet,OTT:3599890,Regulidae,Passeriformes,none,70,0,6.19,Chickadee,Least Concern,2473310,0.06989383882918389,4944
Selasphorus rufus,Rufous_Hummingbird,-0.1860768440233629,0.40427272714795015,30,-6.691947853208123,0.47902029629160486,0.0012393255639521,1,-6.888292305097768,0.01666994625323484,0.00101861497790734,0.98,-0.9784368291651333,0.6062831411184074,0.6453184624712258,0.8205258944862629,Non-significant,Rufous_Hummingbird,OTT:532129,Trochilidae,Caprimulgiformes,none,100,0,3.5,Hummingbird,Near Threatened,277614,0.00784515817779617,2268
Passerculus sandwichensis,Savannah_Sparrow,-0.6761615051248739,0.02708853015743357,30,-6.4576823018354474,0.02906088645238703,0.00156597053071604,1,-5.7384662833300055,0.0103196962837184,0.00320936938699718,0.76,-0.7292540486275708,-0.6230689616221771,1.61502638324991e-137,2.3872108727412734e-136,Underreported,Savannah_Sparrow,OTT:453758,Passerellidae,Passeriformes,none,60,0,19.97,Sparrow,Least Concern,1372698,0.03879138998877741,4900
Anser caerulescens,Snow_Goose,-1.7118646171739675,0.14677491928641523,30,-8.943404098103713,0.15759279876044024,1.3057866899269236e-4,1,-7.274994922409178,0.00466818587563768,6.921642145194481e-4,1,-1.9995381728091148,-1.4241910615388205,1.9652504714090373e-31,1.4300976507330379e-30,Underreported,Snow_Goose,OTT:190878,Anatidae,Anseriformes,none,80,0,2636.15,Duck,Least Concern,363092,0.01026070073228428,3639
Melospiza melodia,Song_Sparrow,-0.8034611649360546,0.03189659175593961,30,-5.212613918925458,0.02369499881587834,0.00541790238988044,1,-4.374817645063423,0.03413772229512906,0.01243388984293655,0.995,-0.8659773360072734,-0.7409449938648357,5.212782046392297e-140,7.953696477237278e-139,Underreported,Song_Sparrow,OTT:265548,Passerellidae,Passeriformes,none,46.5,0,21.91,Sparrow,Least Concern,6986587,0.19743557651247573,4959
Buteo swainsoni,Swainsons_Hawk,-0.01157468008959683,0.10031757071779486,30,-6.2253510119542685,0.13085678176595802,0.00197472192854167,1,-6.307198807651336,0.00420382665054222,0.00181981527408369,0.9475,-0.20819350571302467,0.18504414553383097,0.9081436243746976,0.9928000296833465,Non-significant,Swainsons_Hawk,OTT:1026126,Accipitridae,Accipitriformes,none,62.5,0,946.61,Hawk/Falcon,Least Concern,257345,0.00727237182298067,2884
Tachycineta bicolor,Tree_Swallow,-0.8397440990305438,0.2416946742921555,30,-5.754145145152691,0.26329809950313265,0.00315960029746901,1,-5.083511996222391,0.03751565180209601,0.00615992319402376,0.655,-1.3134569558983074,-0.36603124216278027,5.119961966455896e-4,0.001450144916247688,Underreported,Tree_Swallow,OTT:136028,Hirundinidae,Passeriformes,none,60,0,21.2,Swallow/Swift,Least Concern,2915944,0.08240233532024929,4842
Baeolophus bicolor,Tufted_Titmouse,-0.7894111471748466,0.0881191463534214,30,-4.828021161489449,0.09505789888644647,0.00793881186962838,1,-3.8701207144879928,0.00100374973957705,0.02042977138807938,0.9925,-0.9621215003759666,-0.6167007939737267,3.2926811105298293e-19,2.0765842203741455e-18,Underreported,Tufted_Titmouse,OTT:922720,Paridae,Passeriformes,long,40,0,21.6,Chickadee,Least Concern,4806616,0.13583127226986366,2416
Cathartes aura,Turkey_Vulture,-0.18097363209328177,0.02236690047320109,30,-4.474825816182369,0.02318959474939647,0.01126388577926554,1,-4.261908956985341,0.00492430351696632,0.01389945135824988,0.7675,-0.2248119514665478,-0.13713531272001575,5.911084159829927e-16,3.4096863507311655e-15,Underreported,Turkey_Vulture,OTT:9106,Cathartidae,Cathartiformes,none,52.5,0,1518.24,Hawk/Falcon,Least Concern,5521320,0.1560282577616027,5161
Pooecetes gramineus,Vesper_Sparrow,-0.7484308335901693,0.5582474302025202,30,-7.020127325672046,0.6139393117422993,8.929136857603401e-4,1,-6.705486183087748,0.0101049538539601,0.00122268060695269,0.7375,-1.8425756912491464,0.3457140240688077,0.1800245634308116,0.3074065649919635,Non-significant,Vesper_Sparrow,OTT:765407,Passerellidae,Passeriformes,none,57.5,0,25.68,Sparrow,Least Concern,323972,0.00915519961232856,4576
Sturnella neglecta,Western_Meadowlark,-1.3583322137583658,0.14354560049251225,30,-6.4428598966516155,0.1496431549250832,0.00158931769315809,1,-5.120767637522261,0.0102763965220144,0.00593599083915622,1,-1.6396764208628647,-1.0769880066538668,3.000272034318445e-21,1.9440118797707184e-20,Underreported,Western_Meadowlark,OTT:283666,Icteridae,Passeriformes,none,90,0,100.06,Blackbird,Least Concern,891411,0.02519058943867191,3504
Sitta carolinensis,White-breasted_Nuthatch,-0.7456018818177683,0.1508534482484713,30,-5.131117571326921,0.16887897697386575,0.00587522966352258,1,-4.6611609650860455,0.00887996796214107,0.00936690993064682,0.29,-1.0412692073284489,-0.44993455630708773,7.710424974011225e-7,2.8271558238041156e-6,Underreported,White-breasted_Nuthatch,OTT:82247,Sittidae,Passeriformes,none,75,0,21,Nuthatch,Least Concern,4630612,0.13085753456238192,4066
Zonotrichia albicollis,White-throated_Sparrow,-0.3974575488618164,0.14215739397559346,30,-5.499645612678184,0.16796406670113406,0.00407157450281493,1,-5.127157959468285,0.04608160560672855,0.00589840192063268,0.6975,-0.6760809211900508,-0.11883417653358203,0.005175575977474158,0.01275024706950665,Underreported,White-throated_Sparrow,OTT:265547,Passerellidae,Passeriformes,none,50,0,24.4,Sparrow,Least Concern,2873354,0.08119877466843656,3999
Meleagris gallopavo,Wild_Turkey,1.6915771212922852,0.01956386119894651,30,-4.393382072818689,0.02183331400266944,0.01220798314046349,1,-5.95762840553261,0.001084501827715,0.00257936739660373,0.9775,1.6532326579438095,1.729921584640761,0,0,Overreported,Wild_Turkey,OTT:446482,Phasianidae,Galliformes,none,40,0,5791.37,Game,Least Concern,868065,0.0245308494298149,4257
